Produtos;Média de VLR_MERCADORIA
MISTURA DE MINERIO FERRO PELOTAS; 3.778,84 
MIX COMBUSTIVEL MOIDO; 42.367,63 
MM LOTHAR; 58.100,00 
MOGUL; 36.729,08 
MOINHA CARVAO CALDEIRA BIOMASSA; 33,78 
MOINHA CARVAO VEGETAL; 8.784,44 
MOLA INJ GA GI-CMO0001 (P); 4.432,54 
MOTOR TRI VR LI32ML 6 10 0CV 6P 220 380 440 760V; 60.620,00 
MP - 00 23 00MIN COMP23/17P205; 90.055,87 
MP - 10 46 00 - 7,5%S GR; 88.895,11 
MP - ASPIRE 00 00 58 + 0,5 B; 92.328,94 
MP - Aspire 00 00 58 + 0,5 B Gr; 95.856,48 
MP - ATHOS - 02 19 19 + 0,1 B +0,2 ZN; 65.998,93 
MP - ATHOS - 03 32 08 + 0,1 B + 0,2 Z; 89.321,27 
MP - NP 10-45-00 G:10% N TOTAL; 106.897,92 
MP - S9 10 46 00 - MICROESSENTIALS GR; 183.016,49 
MP 00 20 00; 61.085,88 
MP 10 46 00 - 7,5%S GR; 130.178,59 
MP ATHOS - 02 19 19 + 0,1 B + 0,2 Zn; 117.474,26 
MP ATHOS 02 19 19; 94.098,95 
MP ATHOS 03 32 08 + 0,1 B+ 0,2 ZN; 138.636,77 
MP CLORETO DE POTASSIO GRANULADO; 66.083,49 
MP KCI 60%K GR; 80.209,84 
MP SAM 20,5%N +23%S GR; 45.231,98 
MP UREIA GRANULADA; 82.767,32 
MP-00 20 00; 68.826,20 
MREC; 3.114.256,94 
MTA-FLOT-63? 1000KG LO X N A501; 5.702,28 
NATURAL PELLET ORE ROM; 7.046,75 
NEW FERT NPK 02-18-00 GRAN GRANEL; 100.278,43 
NITRATO DE AMONIO; 49.598,93 
NITRATO DE AMONIO 34 %; 51.093,88 
NITRATO DE AMONIO 34%N PCE; 54.470,68 
NITRATO DE CALCIO; 61.788,33 
NITRATO DE CALCIO (25KG); 50.748,16 
NITRATO DE POTASSIO FERTILIZANTE MINERAL; 145.459,22 
NITROFLEX BD 20L; 50.166,67 
"NK 17-00-28 SUNKISS - 17% N TOTAL; 28%K2O SOL"; 46.092,68 
NK 21-21 SUNKISS EI; 87.929,24 
NP 03-30-00 9S - FERTILIZANTE MINERAL COMPLEXO; 69.694,16 
NP 10 45 GRANEL; 121.492,79 
NP 10 46 00 GR (MES9); 165.476,48 
NP 10 46 00 GR OFF SPEC; 154.442,83 
NP 10-46% GR FERTILIZANTE MINERAL COMPLEXO; 147.823,57 
NP 10-46-00; 126.699,30 
NP 104600 9S FER; 186.483,36 
NP 11-44; 111.937,75 
NP 12-46-00 6S - FERTILIZANTE MINERAL COMPLEXO; 42.702,22 
NP 12-46-00 6S 1FERTILIZANTES MINERAL COMPLEXO 12%N TOTAL 46%P2O5 CNAH2O 6%S TOTAL -NATUREZA FISICA SOLIDO - GRANULADO; 109.154,14 
NP 13 33 00 GR (MES 15); 166.146,69 
NP 33-03-00; 219.999,36 
NPK 04 30 10; 122.425,00 
NPK 10-26-26 +1,8,s+0,4,MG; 92.885,71 
NPK 15-15 + 0S ( FERTILIZANTE MINERAL COMPLEXO); 61.559,36 
NPK 15-15-15; 79.691,12 
NPK 16 16 16; 105.270,62 
NPK 16-16-16 16%N TOTAL; 111.266,84 
"NPK 19-04-19 + MICROS ; 19% N TOTAL; 4 P2O5 SOL. CNA+H2O; 19% K2O SOL. H2O. 0.2%B 1% MG, 2% S; 0,1% ZN - FERTILIZANTE MINERAL COMPLEXO ` VIAL SOLO `GRANULADO"; 61.150,63 
NPK 19-04-19% GR FERT. MIN COMPLEXO 19%; 64.458,80 
NPK 19-04-19% GR FERT.MIN.COMPLEXO; 77.759,97 
NPK 27-06-06; 65.551,97 
NUCLEUS O-PHOS 8-24-0 (20LTs); 176.276,12 
NUTRIENTES - FERTILIZANTE MINERAL CARBONATO DE Ca Mg; 23.185,97 
OCTABORATO DE SODIO - 20 KG; 116.457,44 
OLHAL ADI ARE CS17130 (P); 2.156,51 
ONU 1350 CLASSE DE RISCO 4.1 ENXOFRE BRUTO - STA (S 99%); 34.785,14 
ONU 3077 RESIDUO; 188,30 
ONU 3077 RESIDUO TRIT ENERGETICO RT 50MM 9 II; 91,60 
OXIDO DE ALUMINIO; 37.945,49 
OXIDO DE ALUMINIO - RESIDUO; 12,97 
OXIDO DE CALCIO  - CAL VIRGEM; 25.350,59 
OXIDO DE FERRO; 19.419,46 
OXIDO DE FERRO SINTÉTICO; 25.476,05 
OXIDO DE MAGNESIO CIRE MIN MAGNESITA 0,00 - 4,75 MM; 28.329,86 
OXIDO DE MAGNESIO COPRODUTO MANESIA ELET CCM RECUP; 16.760,54 
OXIDO DE ZINCO BO; 660.489,98 
OXIDO DE ZINCO BO BBG NX TM; 645.581,71 
OXIDO DE ZINCO BO SCM NX TM; 649.397,45 
OXIDO DE ZINCO MICROFERT # BBM # NX TM; 336.171,93 
P 00-20-00+16%Ca+10%S+MICROS; 64.273,79 
P 00-21-00 + 16%Ca + 10%S; 70.121,39 
P 00-21-00 + 16%Ca + 8%S; 86.107,66 
P 00-21-00 +16% +8%S; 71.509,79 
P 00-42-00+13%Ca; 120.494,91 
P1 ESTOQUE 250X1450mm 7,00m; 122.733,19 
PA MAQ PRO S100903 (P); 2.828,59 
PACOTE ESTAMPARIA SU0700015; 52.054,51 
PACOTE MISTO CHAPARIA; 38.950,57 
PALETE 100X120CM; 1.977.407,25 
PALETO BANOX 570GM2 G JOBE LUV 31370; 136.866,48 
Papel Alta Alvura; 55.783,13 
Papel Cartao Super 6 Plus; 80.006,46 
PAPEL COUCHE DESIGN GLOSS; 66.302,51 
PAPEL MAGNUM BRASIL; 99.846,65 
PAPEL NOVO ONE; 49.289,51 
PAPEL PAPERFECT OFFSET; 94.405,22 
PAPEL POLEN BOLD NOVO; 4.499,76 
PAPEL REPORT PREMIUM PBR; 83.189,43 
PAPEL SUPREMO ALTA ALVURA; 74.407,79 
PARAF CIL SEX M12X1,75X 25 12,9 DIN91 (I); 3.943,65 
PARAF OLHAL VAL GAV G030479 (P); 66.972,73 
PASTA ANODICA BRIQUETADA; 32.430,12 
PASTA CATODICA; 249.280,99 
PASTA DE REVESTIMENTO A FRIO - RP-E; 195.408,55 
PASTA DE REVESTIMENTO A FRIO-RP-E; 195.929,22 
PASTA ELETRÓDICA; 214.235,87 
PASTA ELETRODICA S EM 1/2 BR; 208.549,93 
PASTILLES GRANULAR SULPHUR; 33.957,77 
PB220 MGGHA 0071 CB; 492.942,19 
PBF/STD -  pelota min Ferro Alto forno; 34.819,34 
PBF/STD - Pelota min ferro alto forno; 43.763,59 
PEÇAS EM GERAL; 616.515,11 
PEDRA BRIT CALC CALCIT EM AREIA INDUSTRIAL; 1.844,97 
PEDRA BRIT CALCARIO CALCITICO; 2.592,80 
PEDRA BRIT CALCARIO CALCITICO GRANULADO; 2.550,77 
PEDRA BRIT CALCARIO CALCITICO NO 1; 2.400,20 
PEDRA BRITADA; 6.718,05 
PEDRA BRITADA 01 CALCITICO; 3.007,00 
"PEDRA BRITADA 4 3,5"""; 9.564,80 
PEDRA BRITADA CALCARIO CALCITICO AREIA; 1.871,59 
PEDRA BRITADA CALCARIO CALCITICO BRITA 0; 2.678,13 
PEDRA BRITADA CALCARIO CALCITICO EM AREIA IND. FINO; 1.743,41 
PEDRA BRITADA CALCARIO CALCITICO EM AREIA INDUSTRIAL; 2.007,58 
PEDRA BRITADA CALCARIO CALCITICO GRANULADO; 2.655,20 
PEDRA BRITADA CALCARIO CALCITICO N 0; 2.762,49 
PEDRA BRITADA CALCARIO CALCITICO N 3; 2.757,60 
PEDRA BRITADA CALCARIO CALCITICO Nº 0; 2.693,60 
PEDRA BRITADA CALCARIO CALCITICO Nº 1; 2.178,96 
PEDRA DE MAO; 2.686,87 
PEDRA MARROADA - PORTUGUESA; 85,50 
PEDRA RACHÃO; 4.152,10 
PEDRISCO; 2.340,91 
PEDRISCO FINO CALCITICO 3/16 - (GRANILHA); 1.768,00 
PELOTA 8 A 18MM - PES-PELOTA; 23.667,65 
PELOTA MINERIO FE TIPO A.F ETBM-002; 37.858,36 
PELOTA VSB  -  FINOS DE PELOTA; 7.389,80 
PELOTPLUS 10; 55.407,45 
PELOTPLUS 325; 42.179,20 
PE-PELOTA-PARA TERCEIRO; 8.024,63 
PERFIL 1 DE ACO W610X155 ASTMA992,14M FEIXE 2,83ton; 142.122,83 
PERFIL DE ACO EXPORTACAO W360X39,0/14x26 IRAM-IAS U500-503F36 12m 4,68; 122.790,68 
PERFIL H DE ACO EXPORTACAO; 165.839,57 
PERFIL H DE AÇO EXPORTAÇÃO W150X22,5/6x15 IRAM-IAS U500-503F36 12m 4,32ton; 120.118,78 
PERFIL H DE AÇO EXPORTAÇÃO W150X37,1/6x25 IRAM-IAS U500-503F36 12m 4,01ton; 145.101,41 
PERFIL H DE AÇO W200x35,9 A992 12,19m FEIXE 3,94 ton; 153.582,11 
PERFIL H DE ACO W200x46,1 A992 12,19m FEIXE 4,5 ton; 142.032,31 
PERFIL I DE ACO EXPORTACAO; 171.903,33 
PERFIL I DE AÇO EXPORTAÇAO W200X31,3/8x21 IRAM-IAS U500-503F36 12m 4,51ton; 140.623,30 
PERFIL I DE ACO EXPORTACAO W250x32,7//10x22 U500503 12m FEIXE 4,71 ton; 129.052,11 
PERFIL I DE ACO EXPORTACAO W410X53,0/16x36 IRAM-IAS U503F36 12m 3,82; 137.212,90 
PERFIL I DE ACO Q410X53,0 A992 9,144m FEIXE 3 ton; 119.047,10 
PERFIL I DE AÇO W150x18,0 A992 6,096 FEIXE 2 ton; 128.663,58 
PERFIL I DE ACO W200x15/8X 10  A992 12m FEIXE; 149.231,79 
PERFIL I DE ACO W250x25,3 A992 12m FEIXE; 121.232,04 
PERFIL I DE ACO W310x32,7 A992 9,14m FEIXE 3,59 ton; 96.094,92 
PERFIL I DE ACO W360x32,9 A572GR50 9,14m FEIXE 3,61 ton; 96.686,05 
PERFIL I DE ACO W360X58 A992 12,19M FEIXE 4,24 TON; 118.651,78 
PERFIL I DE AÇO W410x38,8 A992 12m FEIXE 4,656 ton; 114.672,89 
PERFIL I DE ACO W410x38,8 A992 9,14m; 108.580,01 
PERFIL I DE AÇO W410x46,1 A992 9,14m FEIXE 3,37ton; 157.868,50 
PERFIL I DE AÇO W410X53 A992 12,19m FEIXE 3/876 ton; 127.158,47 
PERFIL I DE AÇO W610x101/24x68 A992 12m FEIXE 3,64ton; 123.399,13 
PERLITA ATIVADA FELIMAX; 69.120,00 
PES MB ELSEP XS GRANEL; 298.257,28 
PES-PELOTA; 23.566,45 
PET COQUE VERDE DE PETROLEO; 29.305,43 
PETCOKE GDSH; 19.738,43 
PETCOKE MEDIO ENXOFRE MOIDO  0 - 50 MM; 31.379,71 
PETCOKE MEDIO ENXOFRE MOIDO <200 MESH; 38.546,49 
PetCoke Médio Enxofre Moído <200 Mesh; 46.392,38 
PETCOKE S5 5 HG145; 20.651,86 
PETCOQUE VERDE DE PETROLEO; 21.931,56 
PETCOQUE VERDE DE PETROLEO S<=7,00%; 19.822,41 
PF 1 W150X13 A572GR50 6M FX2, 18T; 150.140,47 
PF 1 W200x15 A572GR50 12m FX4,32t; 254.877,75 
PF 1 W200X15 A572GR50 12M FX432T; 227.910,75 
PF 1 W310X32,7 A572GRGR50 12m FX4,71t; 177.054,56 
PF 1 W460X160 A572GR50 12M FX3,82T; 232.204,53 
PF 1 W460X52 A572GR50 12M FX4, 99T; 132.088,65 
PF 1 W530x72 A572GR50 12m FX4,32t; 177.483,73 
PF 1 WI50x13 A572GR50 12m FX4,37t; 169.834,66 
PF DORM 12mm 1522 UIC865 12,068m FX4; 119.169,38 
PF GUSA 89B FE430B 10,18M FX3,05T LEVEE; 102.425,51 
PF H HP200x53 A572GR50 12m FX3,82t; 214.317,94 
PF H HP200x53 A572GR50 6m FX1,91t; 155.479,23 
PF H HP250x62 A572GR50 12m F4,46t; 238.456,36 
PF H HP250x62 A572GR50 12m FX4,46t; 167.812,68 
PF H HP250X62 A572GR50 6M FX2,23T; 168.765,69 
PF H HP250x85 A572GR50 12m FX4,08t; 153.563,25 
PF H HP310x110 A572GR50 12m FX3,96t; 206.459,53 
PF H HP310x110 A572GR50 12mFC3,96t; 91.709,21 
PF H HP310x125 A572GR50 12M FX4,5T; 172.717,99 
PF H HP310x79 A572GR50 12m FX3,79t; 161.306,23 
PF H HP310x93 A572GR50 12m FX4,46t; 180.866,12 
PF H S-2 HP 310x93 A572GR50 12m FX4,46t; 232.395,00 
PF H S-2 HP250X62 A572GR50 12M FX4,46t; 255.364,86 
PF H S-2 HP3 10x110 A572GR50 12m FX3,96t; 142.146,22 
PF H S-2 HP310X79 A572GR50 12m FX3,79t; 163.189,19 
PF H W150x22,5 A572GR50 11,23m FX4,05t; 80.393,32 
PF H W150x22,5 A572GR50 12m FX4,32t; 151.384,98 
PF H W150x22,5 A572GR50 6m FX2,16t; 170.191,39 
PF H W150x22,5 A572GR50 6m FX2.16t; 320.997,21 
PF H W150x22,5 A572GR50 9,6m FX3,46t; 103.109,81 
PF H W150x29,8 A572GR50 12m FX4,29t; 149.551,85 
PF H W150x29,8 A572GR50 6m FX2,15t; 208.418,23 
PF H W150X37,1 AS72GR50 12m FX4,01t; 170.606,75 
PF H W200x35,9 A572GR50 12m FX5,17t; 207.505,78 
PF H W200x35,9 A572GR50 6m FX2,58t; 200.565,86 
PF H W200x41,7 A572GR50 12m FX4t; 196.317,36 
PF H W200x46,1 A572GR50 12m FX4,43t; 163.957,18 
PF H W200x52 A572GR50 6m FX2,5t; 20.643,24 
PF H W200x59 A572GR50 12m FX4,25; 256.515,66 
PF H W200x59 A572GR50 6m FX2,12t; 72.938,32 
PF H W200x71 A572GR50 12m FX3,41t; 121.874,69 
PF H W200x71 A572GR50 8,8m FX2,60t; 155.399,98 
PF H W200x86 A572GR50 12m FX4,13t; 247.290,33 
PF H W250x101 A572GR50 12m FX3,64t; 210.189,55 
PF H W250X115 A572GR50 12M FX4,14T; 243.085,13 
PF H W250x73 A572GR50 12m FX3,5t; 202.606,59 
PF H W250x73 A572GR50 6m FX1,75t; 115.672,80 
PF H W250x73 A572GR50 8,8m FX2,57t; 169.179,72 
PF H W250x80 A572GR50 12m FX3,84t; 114.054,20 
PF H W250x89 A572GR50 12m FX4,27t; 170.110,59 
PF H W250x89 a572GR50 6m FX2,14t; 175.740,16 
PF H W310x107 A572GR50 12m FX3,85t; 176.285,08 
PF H W310x97,0 A572GR50 12m FX4,66t; 215.205,41 
PF H W360x 110 A572GR50 6m FXI,98t; 250.316,92 
PF H W360x122 a572GR50 12m FX4,39t; 252.920,41 
PF H W360x91 A572GR50 12m FX4,37t; 230.659,75 
PF H W360x91 A572GR50 6m FX2,18t; 257.297,50 
PF H WI50x22,5 A572GR50 12m FX4,32t; 198.285,75 
PF HS-2 HP310x93 A572R50 12m FX4,66t; 298.164,97 
PF I 410x46,1 A572GR50 12m FX4,43t; 164.691,76 
PF I W 530x82 A572GR50 6m FX2,46t; 44.088,54 
PF I W 610X217,0 A572GR50 12m FX2,6; 109.313,16 
PF I W150x13 A572GR50 12m FX4,37t; 184.168,33 
PF I W150x13 A572GR50 6m FX2,18t; 192.173,10 
PF I W150x18 A572GR 12m FX4,32t; 195.614,29 
PF I W150x18 A572GR50 12m FX4,32t; 188.878,13 
PF I W150x18 A572GR50 6m FX2,16t; 41.454,59 
PF I W150X24 A572GR50 12M FX4,61T; 206.090,33 
PF I W200x15 A572GR50 12m FX4,32t; 166.816,01 
PF I W200x15 A572GR50 6m FX2,16t; 182.062,72 
PF I W200x19,3 A572GR50 12m FX4,63t; 130.747,27 
PF I W200x19,3 A572GR50 6m FX2,32t; 93.728,70 
PF I W200x22,5 A572GR50 12m FX4,32t; 116.409,90 
PF I W200x26,6 A572GR50 12,75m FX5,42t; 98.935,58 
PF I W200x26,6 A572GR50 12m FX5,11t; 146.508,67 
PF I W200x26,6 A572GR50 6m FX2,55t; 159.886,00 
PF I W200x31,3 A572GR50 12m FX4,51t; 139.282,62 
PF I W250x17,9 A572GR50 12m FX3,87t; 175.667,63 
PF I W250x22,3 A572GR50 12m FX4,01t; 174.583,22 
PF I W250x25,3 A572GR50 6m FX2,28t; 101.402,36 
PF I W250x28,4 A572GR50 12m FX4,09t; 123.496,52 
PF I W250x32,7 A572GR50 12m FX4,71t; 138.924,09 
PF I W250x38,5 A572GR50 12m FX4,16t; 145.024,96 
PF I W250x38,5 A572GR50 6m FX2,08T; 116.188,31 
PF I W250X44,8 A 131AH36 12mm  FX4,84T; 147.058,15 
PF I W250x44,8 A572GR50 12m FX4,84t; 194.594,49 
PF I W310x21 A572GR50 12m FX4,03t; 170.678,43 
PF I W310x23,8 A572GR50 12m FX4t; 129.182,89 
PF I W310x28,3 A572GR50 12m FX4,08t; 180.741,24 
PF I W310x28,3 A572GR50 6m FX2,04t; 83.961,24 
PF I W310x32,7 A572GR50 6m FX2,35t; 150.841,22 
PF I W310x38,7 A572GR50 12m FX3,72t; 144.213,17 
PF I W310x38,7 A572GR50 6m FX1,86t; 159.541,83 
PF I W310x44,5 A572GR50 12m FX4,27t; 171.348,93 
PF I W310x52 A572GR50 12m FX3,74t; 120.983,42 
PF I W360,32,9 A572GR50 12m FX4,74t; 134.534,68 
PF I W360x32,9 A572GR50 12m FX4,74t; 159.217,16 
PF I W360x32,9 A572GR50 6m FX2,37t; 117.487,69 
PF I W360x39 A572GR50 12m FX4,68t; 177.209,70 
PF I W360x39 A572GR50 6m FX2,34t; 48.959,36 
PF I W360x44,6 A572GR50 12m FX4,28t; 163.629,50 
PF I W360x51 A572GR50 12m FX4,9t; 134.449,38 
PF I W360x51 A572GR50 6m FX2,45t; 9.285,21 
PF I W360x58 A572GR50 12mFX4,18t; 209.516,44 
PF I W360x64 A572GR50 12m FX4,61t; 216.840,41 
PF I W360x64 A572GR50 6m FX2,3t; 152.496,95 
PF I W360x72 A572GR50 12m FX4,32t; 152.746,57 
PF I W360x79 A572GR50 12m FX4,74t; 180.913,31 
PF I W410x38,8 A572GR50 12m FX4,66t; 163.075,51 
PF I W410x46,1 A572GR50 12m FX4,43t; 177.914,50 
PF I W410x53 A572GR50 12m FX3,82t; 150.139,53 
PF I W410x60 A572GR50 12m FX4,32t; 143.124,96 
PF I W410x67 A572GR50 12m FX4,82t; 198.371,76 
PF I W410X75 A572GR50 12 FX4,5t; 236.852,95 
PF I W410x85 A572GR50 12m FX4,08t; 207.687,01 
PF I W460x106 A572GR50 6m FX1,91t; 13.685,52 
PF I W460x52 A572GR 12m FX4,99t; 169.381,90 
PF I W460x60 A572GR50 12m FX4,32t; 204.507,04 
PF I W460x68 A572GR50 12m FX4,9t; 210.417,62 
PF I W460x74 A572GR50 12m FX4,44t; 209.804,59 
PF I W460x82 A572GR50 12m FX4,92t; 238.804,56 
PF I W460x89 A572GR50 12m FX4,27t; 230.688,05 
PF I W460x97 A572GR50 12m FX3,49t; 129.050,06 
PF I W530x101 A572GR50 12m FX3,64t; 181.906,15 
PF I W530x109 A572GR50 12m FX3,92t; 249.860,76 
PF I W530x66 A572GR50 12m FX4,75 t; 103.497,01 
PF I W530x66 A572GR50 6m FX2,38t; 50.447,51 
PF I W530x74 A572GR50 12m FX4,44t; 36.312,12 
PF I W530x74 A572GR50 6m FX2,22t; 54.435,46 
PF I W530x82 A572GR50 12m FX4,92t; 158.426,94 
PF I W530x85 A572GR50 12m FX4,08t; 30.144,92 
PF I W530x85 A572GR50 6m FX2,04t; 281.028,42 
PF I W530x92 A572GR50 12m FX4,42t; 177.926,11 
PF I W610x101 A572GR50 12m FX3,64t; 152.349,38 
PF I W610x113 A572GR50 12m FX4,07t; 176.644,94 
PF I W610x140 A572GR50 12m FX3,36t; 112.101,87 
PF I W610x155 A572GR50 12m FX, 72t; 226.090,66 
PF I W610x155 A572GR50 12m FX3,72t; 166.204,80 
PF I W610x174 A572GR50 12m FX4,18t; 122.189,06 
PF I W610x195,0 A572GR50 12m FX4,68t; 119.137,56 
PF I W610x82,0 ASTM A572 GR50 6m FX1,4 t; 37.016,68 
PF IW 250x22,3 A572GR50 6m FX2,01t; 208.206,32 
PF IW410x38,8 A572GR50 6m FX2,33t; 115.239,64 
PF U 203,2X5,59mm  A36 12 M FX4,It; 137.222,53 
PF U 203,2x5,59mm A36 12m FX4,1t; 103.303,06 
PF U 203,2x7,7mm A36 12m FX3,9t; 101.196,83 
PF U 254x9,63mm A36 12m FX4,3t; 99.803,44 
PFI W360x32,9 A572GR50 12m; 253.073,76 
PFI W410x75 A572GR50 12m FX4,5t; 162.864,64 
PFU 4 X 1; 128.264,08 
PG EC5 GBM200AP; 14.697,43 
PG-94BM200 25 KG PS K B79 J072; 38.537,97 
PG-EC56BM200af 25 kG PS K B79 J072; 14.345,10 
PH H HP310X79 A572GR50 12M FX3,79T; 202.936,05 
PHOSACTIV - FOSFATO NATURAL REATIVO; 45.820,26 
PHOSGRAO 180; 53.600,08 
PHOSGRAO 180 COTTON; 57.845,91 
PHOSGRAO 200 PLUS; 67.106,50 
PICHE SOLIDO PA 85 (ESPECIAL); 16.336,72 
PINO ARTIC INJ GAS GI-CPI0001 (P); 2.358,70 
PINO GUIA VAL GAV G014112 (P); 39.728,67 
PINOCLEAN # 19 A 50MM (GRANEL); 18.294,85 
PIPOMIX/50KG/RF NCM: De milho; 56.453,21 
PLACA DE AÇO; 130.878,12 
PLACA E VALVULA REFRAT USADA NO ESTADO; 26.143,66 
PLACAS E VALVULAS - ACIARIA; 27.449,95 
PÓ; 2,75 
PÓ COLETOR DO ALTO FORNO II; 1.789,00 
PÓ DE ACIARIA; 1.751,43 
PO DE ACIARIA - VAM ZN; 2.163,85 
PO DE ACIARINA FINA; 3.345,29 
PO DE AÇO SUCATA D; 10.482,51 
PO DE CARBONO; 43.472,22 
PO DE DESPOEIRAMENTO PRIMARIO FINO - ACIARIA (CSA); 835,70 
PO DE EXAUSTAO; 3.441,06 
PO DE FILTRO - VAM MN; 56.818,16 
PO DE GRAFITA (PARTICULAS); 23.667,00 
PO DE PEDRA; 3.214,73 
PÓ DE PEDRA 2; 3.295,28 
PO DE PEDRA SIDERURGICO; 1.266,35 
PÓ DESP. FORNO ELETRICO ARCO (INS); 121,80 
PO DESP. PRIMARIO FINO; 1,38 
PO DESPOEIRAMENTO ACIARIA; 1.828,64 
PO E PALHA DE MALTE CDD; 16.813,00 
PO GRANALHA; 0,25 
POLCARB 2 BIG BAG VINIL; 43.728,41 
POLCARB 2 SACO PAPEL - 260; 47.581,38 
POLCARB 2/2 BIG BAG RAFIA; 30.184,41 
PONTEIRA FOR EBT CS16783 (P); 72.256,41 
PP106831 FPKY 21793; 369.304,23 
PR FRIO P-30MI; 224.545,53 
PRE-CAL; 7.085,00 
PROD MIB- 105 GRAN BG 1000KG; 75.508,00 
PRODUBOR 10% K GRAN GRANEL; 92.036,87 
PRODUTO MD3 DE AÇO INOXIDAVEL, TIPO304; 509.249,28 
PROTECAO INJ GAS GI PPT0001S (P); 5.718,55 
PS 8,00 X ALMA X 9,50 Z MESA X DIVERSOS - ESTRUTURAL; 221.540,00 
PW I W460x60 A572GR50 12m FX4,32t; 273.953,58 
Q31-76 NGGNO 6971; 166.097,69 
Q-MAG-VR 1000KG; 608.040,00 
QUADRO MOVEL VAL GAV G017871 (P); 19.152,84 
QUADRO SUPER VAL GAV; 240.811,70 
QUADRO SUPER VAL GAV G021275 (P); 64.857,43 
QUARTZITO LAVADO EXTERNO. OC: 4517273027; 6.541,20 
QUARTZO A; 9.257,90 
QUARTZO BITOLADO; 10.932,00 
QUARTZO MEDIO; 4.569,00 
QUARTZO MEDIO - 45,0 A 25,0 -  NÃO TRIBUTADO; 2.287,88 
QUARTZO MEDIO - 45,0 A 25,0 - TRIBUTADO; 2.503,05 
QUARTZO SIDERURGICO; 3.604,33 
R1260149130 NGUKI 3568; 432.415,11 
R194/S16,5 FFSZ 21490; 158.254,62 
R354/S14,5 FFSZ 21490; 693.245,69 
R354/S16 FFSZ 21490; 250.858,02 
RACHAO; 2.062,76 
RADEX BCF-6RG WB 30/40; 375.435,02 
RASPA DE SIMET; 50.865,00 
RASPA DE SIMET<25MM TIPO I MONTE I; 49.560,00 
RB3T-ISOTELHA PIR AP 30MM - RAL9003 - 0,50 X 0,43MM; 112.598,61 
REAL POTENT (1000 LTS); 476.716,41 
REC MAT ALUM REFR 72-80; 20.058,80 
REC MAT DESM FORNO CAL; 8.312,98 
REC MAT DESM FORNO CIMENTO; 21.564,09 
REC MAT DESM FORNOS BRUTO; 364,05 
REC MAT DESM PLACA REFR VAL GAV; 19.042,34 
REC MAT REFR DIVERSOS USADO; 4,92 
REC OBSOLETE FIRECLAY AL 45; 447,36 
REC_MAT DESM CARRO TORP PQ; 7.665,72 
REC_MAT DESM PANELA AÇO; 34,95 
REC_MAT SILICATO MAGN BRUTO; 17.940,88 
RECFIRE K FI; 8.164,18 
RECFIRE K FI - 2/0; 8.164,18 
RECFIRE KFI - 2/10 - 3107240001/20; 8.164,18 
REF.ESP. PLUG INJECAO DE GAS URBLOCK MA4-PG/E S66RS647MX - FPS 21406; 602.338,59 
REFR TIJ ALUMIN 70 DESM CARR BRUTO; 294,74 
REFRATÁRIO; 18.611,99 
REFRATARIO ESPECIAL , PRE-MOLDADO ANKOFORM; 102.984,98 
REFRATARIO ESPECIAL PLACA VALV. GAVETA ANKOFORM; 148.760,27 
REFRATARIO ESPECIAL PLACA, VALV. GAVETA; 534.224,60 
REFRATARIO ESPECIAL PRE-MOLDADO, ANKERFORM; 377.251,25 
REFRATARIO ESPECIAL, LUVA FURO CORRIDA ANKERTAP; 93.612,30 
REFRATARIO ESPECIAL, PLUG INJECAO DE GAS URBLOCK; 396.722,00 
REFRATARIO ESPECIAL, PRE-MONTAGEM ARCARBON; 675.700,10 
REFRATARIO ESPECIAL, PRE-MONTAGEM RADEX; 310.932,23 
REFRATARIO ESPECIAL, PRENSAG. ISOSTATICA DELTEK; 403.513,47 
REFRATARIO ESPECIAL,PRE-MOLDADO; 538.546,52 
REGISTRO MAPA NR MG 000921-0 000003; 10.346,00 
REJEITO FINOS DE CAREPA; 474,81 
RELE ELE SEG 24V SCHM SRB301MC24; 1.880,94 
REM-A97-05-BR 25 KG PS K F04 J058; 331.129,55 
REM-B76V-02-BR 25 KG PS K F04 J058; 121.202,59 
REPORT PREMIUM A4 10 PCT CX GRANDE; 105.127,70 
REPR TIJ ALUMIN 70 DESM CARR BRUTO; 287,33 
RES. REFR. VALVULA SUBMERSA; 0,03 
RES. STYROPEK BP - 800 KG; 82,86 
RESENHA 350; 6.905,64 
"RESERVATORIO;1.000,00L;C/TAMP IBC KURITA"; 55.401,12 
RESIDUO; 51,81 
RESIDUO BANHO CRIOLITA RECUPERADA; 21.170,85 
RESIDUO CONSTRUÇAO CIVIL; 298,00 
RESIDUO DA INDUSTRIA QUIMICA OU CONEXA; 199,45 
RESIDUO DE CAL DE ALTO FORNO; 799,16 
RESÍDUO DE CAREPA; 10.013,40 
RESIDUO DE CARVAO; 7.377,82 
RESIDUO DE CONSTRUCAO CIVIL; 258,32 
RESIDUO DE CONTRUÇÃO CIVIL; 230,53 
RESIDUO DE ESCORIA; 227,44 
RESÍDUO DE ESCÓRIA GRANULADA; 249,89 
RESIDUO DE PO DE ACIARIA; 2.047,89 
RESIDUO DE REFRATARIO; 0,32 
RESIDUO DE REFRATARIO CLASSE II; 8.037,29 
RESIDUO DE SLG; 256,03 
RESIDUO DE SOJA; 354,22 
RESIDUO FINOS DE BRICAO CLASSE 2 ESCAVADO; 29,95 
RESÍDUO INDUSTRIAL; 166,75 
RESIDUO MADEIRA; 471,94 
